Datasets,Models,Metrics,Combination,Value,Rank
bigvul,gpt-3.5-turbo,#Input Token,None,1390.4457953394124,1
bigvul,gpt-3.5-turbo,#Input Token,CWE ID,1398.4457953394124,2
bigvul,gpt-3.5-turbo,#Input Token,CVE ID,1402.469098277609,3
bigvul,gpt-3.5-turbo,#Input Token,CWE Name,1405.1225937183383,4
bigvul,gpt-3.5-turbo,#Input Token,CVE ID+CWE ID,1410.469098277609,5
bigvul,gpt-3.5-turbo,#Input Token,CWE ID+CWE Name,1413.1225937183383,6
bigvul,gpt-3.5-turbo,#Input Token,CVE ID+CWE Name,1417.145896656535,7
bigvul,gpt-3.5-turbo,#Input Token,CWE Description,1421.9240121580547,8
bigvul,gpt-3.5-turbo,#Input Token,CVE ID+CWE ID+CWE Name,1425.145896656535,9
bigvul,gpt-3.5-turbo,#Input Token,CWE ID+CWE Description,1429.9240121580547,10
bigvul,gpt-3.5-turbo,#Input Token,CVE ID+CWE Description,1433.9473150962513,11
bigvul,gpt-3.5-turbo,#Input Token,CWE Name+CWE Description,1436.6008105369808,12
bigvul,gpt-3.5-turbo,#Input Token,CVE ID+CWE ID+CWE Description,1441.9473150962513,13
bigvul,gpt-3.5-turbo,#Input Token,CWE ID+CWE Name+CWE Description,1444.6008105369808,14
bigvul,gpt-3.5-turbo,#Input Token,CVE ID+CWE Name+CWE Description,1448.6241134751774,15
bigvul,gpt-3.5-turbo,#Input Token,CVE Description,1454.0101317122594,16
bigvul,gpt-3.5-turbo,#Input Token,Vulnerable Lines,1454.322188449848,17
bigvul,gpt-3.5-turbo,#Input Token,CVE ID+CWE ID+CWE Name+CWE Description,1456.6241134751774,18
bigvul,gpt-3.5-turbo,#Input Token,CVE Description+CWE ID,1462.0050658561297,19
bigvul,gpt-3.5-turbo,#Input Token,CWE ID+Vulnerable Lines,1462.322188449848,20
bigvul,gpt-3.5-turbo,#Input Token,CVE ID+CVE Description,1466.033434650456,21
bigvul,gpt-3.5-turbo,#Input Token,CVE ID+Vulnerable Lines,1466.3454913880446,22
bigvul,gpt-3.5-turbo,#Input Token,CVE Description+CWE Name,1468.6818642350556,23
bigvul,gpt-3.5-turbo,#Input Token,CWE Name+Vulnerable Lines,1468.9989868287742,24
bigvul,gpt-3.5-turbo,#Input Token,CVE ID+CVE Description+CWE ID,1474.0283687943263,25
bigvul,gpt-3.5-turbo,#Input Token,CVE ID+CWE ID+Vulnerable Lines,1474.3454913880446,26
bigvul,gpt-3.5-turbo,#Input Token,CVE Description+CWE ID+CWE Name,1476.6818642350556,27
bigvul,gpt-3.5-turbo,#Input Token,CWE ID+CWE Name+Vulnerable Lines,1476.9989868287742,28
bigvul,gpt-3.5-turbo,#Input Token,CVE ID+CVE Description+CWE Name,1480.7051671732522,29
bigvul,gpt-3.5-turbo,#Input Token,CVE ID+CWE Name+Vulnerable Lines,1481.0222897669705,30
bigvul,gpt-3.5-turbo,#Input Token,CVE Description+CWE Description,1485.483282674772,31
bigvul,gpt-3.5-turbo,#Input Token,CWE Description+Vulnerable Lines,1485.8004052684903,32
bigvul,gpt-3.5-turbo,#Input Token,CVE ID+CVE Description+CWE ID+CWE Name,1488.7051671732522,33
bigvul,gpt-3.5-turbo,#Input Token,CVE ID+CWE ID+CWE Name+Vulnerable Lines,1489.0222897669705,34
